timestamp,price_btc,market_cap_btc,total_volume_btc,price_tron,market_cap_tron,total_volume_tron
2018-07-30,6253.452283374108,107428757162.73953,1982310960.154297,0.02995057902787848,1969194013.7573497,210981453.09965715
2018-07-31,6232.244641671672,107075023526.56836,2663014748.8071713,0.02781533961632413,1828806054.5376704,166859028.9794218
2018-08-01,5898.952565628414,101359560615.41171,3564184207.9703426,0.02582664784120874,1698053325.6798904,159911366.6583667
2018-08-02,5799.119224862585,99654888931.10117,8830223899.282236,0.024888552456224084,1636375325.57426,112977745.38886501
2018-08-03,5793.408124553943,99567829391.83388,5251122634.461332,0.024203176401293425,1591313144.1958694,118010044.51626958
2018-08-04,5699.089689815245,97958660656.1471,4291299913.031461,0.023489070395773366,1544362022.8185716,127330541.74491794
2018-08-05,5389.47465128876,92648906561.6055,4577393928.701436,0.022235850970486793,1461965212.1291473,103389908.861925
2018-08-06,5411.856236682202,93044150127.59425,4606456791.555837,0.023315875876156293,1532974810.2064862,103836745.88621992
2018-08-07,5349.947309545179,91988599024.51268,5351279793.89293,0.02254321501899454,1482173817.9060938,100682473.87448163
2018-08-08,5184.806584539586,89159230229.38885,5198668076.040759,0.02145197563097544,1410426888.7911925,95824360.57087377
2018-08-09,4860.341740253309,83589129317.22446,5306495613.687696,0.018985041386871522,1248230620.6889746,120106711.99502598
2018-08-10,5091.599052495542,87575758282.87595,4555677319.190397,0.020176081560047576,1326539262.968634,114105125.13925342
2018-08-11,4828.964457089355,83068991055.42741,5271137038.842241,0.018628514710571743,1224789664.9711957,126977070.51380982
2018-08-12,4859.213513367619,83599789799.60619,4470562842.402341,0.01757337394664735,1155416152.223504,96615946.50167033
2018-08-13,4949.334744960341,85159674080.85942,4313761477.448979,0.017651791044145423,1160571928.3046844,82172345.20151135
2018-08-14,4924.3091298544505,84738186136.88617,4217188376.465134,0.015187511773719364,998550219.7082527,98742232.0548546
2018-08-15,4884.915612111283,84068909192.87396,5645508841.074197,0.014895412231108735,979345226.3692356,88940051.33971281
2018-08-16,4938.0866482822585,84921851179.84648,5215237512.110858,0.015306292391083387,1005436547.8411918,107311867.58399741
2018-08-17,4962.937181402963,85407668288.34953,4705880897.161047,0.01531272860667727,1006917144.2651541,82148958.3092099
2018-08-18,5149.552363968908,88628060219.96828,4866835397.508127,0.018215325494807845,1196687333.5968056,125956025.51563607
2018-08-19,5004.748095175935,86174522672.23041,4404768446.672647,0.01693643766999336,1112367542.6565566,110998635.59423609
2018-08-20,5079.772514162298,87460318332.03706,4048105169.1522765,0.017444015729239887,1146382915.3563888,77618741.01406853
2018-08-21,4876.864846289448,83986806028.75258,4357695138.602921,0.01603817925643687,1054460499.2117671,75105966.58083701
2018-08-22,5011.424191099666,86322839891.07976,4384728318.185936,0.01629632480046372,1071728794.9825152,77622482.59039705
2018-08-23,4909.337162740115,84574816991.21593,5236867599.902537,0.015247909585792732,1002723999.3859738,74370935.9644445
2018-08-24,5091.041653712247,87694818254.11786,4759449729.768018,0.016196016190618598,1064701114.6688199,65846228.280073404
2018-08-25,5203.454944807692,89659946026.89793,5382022223.082436,0.01680233877253617,1104237335.3259764,71040897.28389212
2018-08-26,5243.667268973689,90357335904.02437,4110262977.561591,0.017492366735095716,1149951263.224413,70005359.63436067
2018-08-27,5232.603036220581,89766217408.98732,4055751625.874974,0.01772470041325425,1164170729.967393,76787610.92040427
2018-08-28,5359.651725794795,91934090194.34595,4222169436.0041113,0.01907676514257505,1251521415.7952147,85449387.35068217
2018-08-29,5499.560442198756,94807419267.77573,4854953466.352295,0.02091310583244387,1375257184.2763608,133798068.77493449
2018-08-30,5406.392633834754,93199665187.44316,4585273120.56371,0.019519487608573888,1283200295.2118015,110042832.1174499
2018-08-31,5399.221522956866,93087941375.78473,5063867447.045749,0.01904270021380221,1251966403.637493,91962012.83281721
2018-09-01,5422.1337754661035,93500696785.65918,4598318948.262527,0.019523424560469203,1284010742.858571,82348533.10381673
2018-09-02,5563.819904595347,95965272759.86397,4828263193.662041,0.02057619426335692,1352142252.0828297,84650819.04155263
2018-09-03,5652.484050867864,97492672906.06091,5137853575.239669,0.019791020066914095,1302804752.9761384,81220811.29028882
2018-09-04,5642.378112109407,97292511080.855,3505957177.948454,0.019461418932333805,1279519342.3494303,71521429.55997653
2018-09-05,5723.152631613524,98717299261.56754,4155991061.985305,0.01961576076811845,1289634171.2391353,69244497.66893922
2018-09-06,5238.312808446789,90297827518.63136,5448264859.862093,0.016934390384679247,1113016318.2404547,113100000.29941873
2018-09-07,5026.63372358078,86662663828.85295,5072914325.164014,0.016707236808049582,1096569666.9082417,105918480.74497908
2018-09-08,4952.743522019078,85460947219.74226,3423955192.0333614,0.01588606334934126,1044509070.6236564,122535181.8926342
2018-09-09,4784.24450488215,82561461998.42043,2980734037.635098,0.014838304835475654,975567119.542633,89201864.93365306
2018-09-10,4842.795488961416,83712638908.94943,3229138574.5071974,0.014993161959178956,986839338.1218486,126769040.00045264
2018-09-11,4842.351883192811,83554285675.77719,3457913539.778033,0.01482401082198548,973868811.044316,108341414.13405329
2018-09-12,4823.313398878981,83308058420.978,3842054560.333341,0.014228835511548542,935429206.6513113,107787759.11163765
2018-09-13,4852.4611203352315,83778674696.88206,3852885393.9159017,0.013945603755196863,916182213.3813027,117870256.49083537
2018-09-14,4947.457798119904,85521363389.56554,3803914501.7138047,0.015268486149880321,1007567467.4759661,125590128.361868
2018-09-15,4974.394378335554,85968359531.33661,4094758012.4256835,0.015161920383520386,1000691079.0111687,122037737.10037927
