timestamp,price_btc,market_cap_btc,total_volume_btc,price_yfi,market_cap_yfi,total_volume_yfi,price_mkr,market_cap_mkr,total_volume_mkr,price_enj,market_cap_enj,total_volume_enj
2023-11-09,35795.0806307102,699187515031.693,14717120833.2235,6245.9548390421,207844989.834817,58355623.294666,1317.91104255808,1187104075.81448,72643936.2740364,0.30755126333036,307230156.570306,63088520.0255853
2023-11-10,36768.4208191267,717022051490.41,38190964507.1576,6694.76886911942,222173337.0207,112838350.4481,1370.53997569085,1232656384.33888,131266715.180723,0.291974806260083,291784198.733388,59255249.0470968
2023-11-11,37344.2490007203,730760729870.5,23152060053.4216,7819.92100917201,259976068.958848,131428451.122751,1326.04703542538,1196757492.27182,104408402.559387,0.296833158937452,297534868.440162,36698192.5583851
2023-11-12,37122.7228243066,720323851790.695,12033297219.971,8907.61760634377,296206389.476738,221835202.086725,1289.75181253457,1162529360.92997,87190831.5548677,0.305515345855632,304527401.365061,35642500.1106455
2023-11-13,37067.6969821201,725016899532.036,8831221164.40887,9295.02161380426,309236894.897945,177540458.969654,1286.59793548972,1159416246.13532,86868449.0175782,0.306671605140678,306379055.351128,45201800.8375073
2023-11-14,36549.1620482984,714263437353.698,18041088204.3672,9875.20573256405,328810211.696881,258247357.370979,1383.82847994385,1247793266.02919,128085095.90211,0.280890666354685,281095158.594774,38693274.8189204
2023-11-15,35545.2014334541,694845286838.959,22330924588.0597,10309.3234452053,343508525.241916,178914573.639808,1372.99307944741,1238009869.8133,130181435.983841,0.270869365230254,270972693.578573,33297488.16861
2023-11-16,37903.6624516629,739215831747.265,28479730068.2951,11780.5785640431,391021562.957248,192832684.374429,1418.38161624252,1275628037.27724,135628203.797688,0.285650609937564,284685801.934807,38104658.138477
2023-11-17,36201.5161114614,707488742969.562,12023334732.1496,14278.4592631743,461309400.063415,451360273.940924,1338.71323723728,1205761642.22918,127891685.658173,0.280402842129509,279651210.330186,32253500.1998958
2023-11-18,36527.7602253074,714651953916.875,22683923623.9637,14405.1999082344,479199985.080527,349017782.7076,1354.79528108652,1223288849.07778,112429908.410599,0.273149954242599,273765224.722799,30111724.6324592
2023-11-19,36582.3684419227,715117663450.342,8877846889.34669,9650.72959967523,320078583.928998,503072319.358968,1364.07467838561,1228870602.97119,92810602.9787919,0.272337993414651,272902977.555269,17190946.2694323
2023-11-20,37413.9946079053,732521837352.243,12599067947.7345,8878.41820728172,295236682.785619,136477669.789554,1383.79524427794,1248215968.56517,71255720.00345,0.281364614230836,282145874.299111,16090670.8923603
2023-11-21,37489.298470802,732673492672.517,16005284775.3117,8283.83265196042,275198023.317477,100474641.571369,1409.02821030999,1271856136.72764,85973825.9725697,0.280002466063114,279841426.192128,19213478.01477
2023-11-22,35965.3603606808,702705880301.698,18891503534.641,7630.96084942024,253674418.622584,102388629.378188,1379.45825429566,1248676776.21589,147120027.537037,0.250917021442308,251473447.72552,22010459.5840529
2023-11-23,37464.8329322091,732259726682.37,25245202377.3214,8242.60142340629,273974646.664384,82295748.3762949,1466.99472854659,1323102803.78412,100765197.395233,0.268264369793696,268922566.158992,16326897.1178208
2023-11-24,37293.3161274267,728816537112.472,11956046626.607,8595.10520073659,285240575.629264,64140022.461502,1471.55097217176,1351700931.11713,93783494.2874194,0.267316009804878,267450665.324007,12548301.7758969
2023-11-25,37738.9316974712,737614054534.814,22996708651.5423,8671.77863381704,288162997.76151,57296057.9237873,1456.4478811952,1338116620.19877,66973574.6117096,0.273315959336399,273398756.396509,16747157.322222
2023-11-26,37809.8528662532,739536714717.24,7505379785.01179,8845.58945117714,293888412.392404,51467477.9385038,1456.40579601771,1336643742.09599,55022982.7284354,0.289729769493329,290569879.529101,25982731.745811
2023-11-27,37491.8381860081,733376783676.32,10229112671.3742,8533.51456432952,282821412.18586,55679582.1414318,1487.41062554639,1366899646.7352,72011694.7691963,0.304779069250319,304821356.298549,52256316.0803996
2023-11-28,37250.1690514811,728040168286.048,17979133247.8808,8443.97874914709,280683402.241293,69091465.3180078,1477.9772923423,1357070397.01679,113727068.211439,0.292525291722484,291680228.133067,30592022.9586137
2023-11-29,37802.2360437747,738816928726.559,19715537240.6886,8468.22224137866,280828625.571969,33504011.3253921,1485.74290765211,1363526774.31862,64443726.8370948,0.294711384508508,294516509.455905,25045209.1492428
2023-11-30,37810.3464165413,740494537382.599,20964545194.8045,8253.03304640547,274244030.283085,81517760.6179477,1519.72046797027,1397391791.78314,95164184.2200194,0.283815573807084,284408582.669968,21653427.7824468
2023-12-01,37711.8183758527,737659515838.61,16566770727.5608,8240.0419678208,273864736.264285,73862540.662795,1526.45080042856,1401537693.78963,88359120.024681,0.278488677787211,278895014.557396,18433435.8602732
